French,Fon
Les nageurs se tiennent prêts à plonger,Tɔlintɔ lε ɖo aceji bo na lɔn byɔ tɔ mε.
Celle que j’aime.,Mɛ ɖe un yi wan nu ɔ
Tu es plus malin qu’une mangouste.,A sɛ́ hú wɔ̀
Nous sommes même venus.,Mì tlɛ́ wá
Il a mauvais caractère.,É nylá kún
Absolument pas !,E jε nε a
Mon habit.,Awu ce
La fin du jeu.,Ayihun sin fifo
Elle a lavé l’assiette et elle est devenue absolument nette.,É klɔ́ agbàn ɔ́ b’ɛ́ jɛ te séé
bâton recourbé pour cueillir les fruits,agɔgɔ́ - agɔgwέ - agwεgwέ
Fais vite que nous partions.,Blò glíwún nú mì ná yì
"Désormais, tu ne mettras plus les pieds chez lui.","Sín égbé ɔ́, ma sɔ́ t'afɔ̀ ɖĕ xwé tɔ́n gbé ó"
Je lui ai confié l’enfant.,Un sɔ́ vì ɔ́ d’ásí n’í
indigent,likpánɔ̀ - wamamɔnɔ̀ - yamɔnɔ̀
Asiba m’a dit que Koku viendra,Asiba ɖɔ nu mi ɖɔ Kɔku na wa.
Il part sans moi.,E ɖo yiyi wɛ nyi mɛvo
"Toi, l'individu au derrière proéminent.","Hwi, nú yonu zyánzyán élɔ ́ɛ"
avoir le sens de l'ouïe,sè tó nŭ
Les enfants sont très heureux,Vi lε ɖo awajijε mε ta.
"Voir les chants, les contes, les expressions, les noms, les proverbes.","E ná kpɔ́n han lɛ́, hwenuxó lɛ́, xógbé lɛ́, nyikɔ́ lɛ́, lŏ lɛ́ mɛ̀"
Je lui ai parlé en aparté.,Un ɖè kp'ɛ́
Et qu’est-ce que Pierre a fait ?,Ani wɛ̀ Piɛ ka wà ?
A neuf heures du matin.,Gan tɛnnɛ mɛ zanzan
La cérémonie est bruyante.,Nùwíwá ɔ́ hlún
C'est l'enfant qui sait se laver les mains qui mange à la même table que les grandes personnes.,Yɔkpɔvu e nyɔ alɔ klɔ ɔ wɛ nɔ ɖu nu xa mɛxo.
Donne-lui le livre qu’ils m’ont laissé.,N’ɛ wema ye ze nu mi ɔ
La rivière a tout inondé.,Tɔ ɔ gbá kpé fí bĭ
Il a été ramasser des haricots.,É yi gbɛ̀ ayikún
faire l'acte sexuel,wà ayɔ̆
"Kofi est venu, mais il n'a pas attendu.",Kofi wa loɔ e nɔ te ă
Il m’a écrasé par terre.,É zín mí dó dò
Je vais échanger cela avec toi.,Un na ɖyɔ́ nù élɔ́ xá wè
Deuxième enfant.,Vi wegɔ
Et son fils a un chapeau à la main.,Bo vi tɔn hɛn gbakun ɖo alɔ mɛ
Il est arrivé avec précipitation.,É zɔ̀n homahoma bo wá
Le malade regarde le remède ,Azinzɔnnɔ ɔ ɖo amasin ɔ kpɔn wε.
II a garé son véhicule à la porte,E gli hun tɔn ɖo hɔn to
Je les achète à la boulangerie.,Un nɔ xɔ ye ɖo wɔxuxusatɛn
Il est allé au milieu du fleuve.,É yì tɔ zan mɛ̀
"Maintenant, je vais acheter du sel.","Din ɔ, un na xɔ jɛ"
Remets la pâte sur le foyer.,Lɛ̀ vɔ́ ɖó wɔ̆ ado jí
Ils sont sur la route.,Ye ɖo alixo
Mes gendres travaillent ensemble,Vi ce sin asu lε nɔ w'azɔ ɖokpo.
Il a dépassé Houègbo.,É dín Hwɛgbó wú
se voiler la tête,cyɔ́n avɔ ta
Est-ce que tu vends à crédit ?,A nɔ sà nù’xɔ́ à ?
Qui est-ce ?,Mɛ̆ wɛ̀ ?
Je dors bien ,Un nɔ d’amlɔ ganji.
Hein !,Ɛn !
Les enfants sont très heureux ,Vi lε ɖo awajijε mε ta.
La lune s’est couchée.,Sun yi xɔ̀
Quelles sont ces personnes sous le bananier ?,Mε nyi mε enε ɔ lε ɖo kwekwetin sa ?
La minorité est d'accord.,Mɛ e yí gbe ná ɔ́ é hwè hú mɛ e gbɛ́ ɔ́
Enfant interprète du fá,"Bokɔ́, Bokɔ́nɔ̀"
seul,ɖóɖó - ɖóɖónɔ̀ - ɖokpónɔ̀
Renvoie-le chez lui.,Ny’ɛ sɛ́ dó xwé
Son visage était un peu trop blanc ,Nukunmε tɔn we kpεde din.
avec lui,x’ɛ́ - xá ɛ̀
sɛn ɖokpo ɔ wɛ na ɖo nu do mɛ bi nu lobɔ é ka do na nɔ azɔgba ă,Gbɛtɔ bi ɖo na wa azɔ. Azɔ e ja jlo é wɛ é na wa : sɛn ɖokpo ɔ wɛ na ɖo nu do mɛ bi nu lobɔ é ka do na nɔ azɔgba ă
Il a fait des acrobaties.,É nyì alŏgwè
Ah ! Ah ça ! Tiens !,"Cá, cáyì !"
Nous sommes pressés de sortir du tunnel,Mi jan ya wu tɔn sin aliso e ɔ mε.
Est-ce que Jane est curieuse ?,Jane nɔ ba nudo wɛ a ?
Tu es plus grand que moi.,A hŭ ga mì
Ma maison a un toit de tôle.,Ganxɔ wɛ nyí xɔ cè
Je cuis sur feu doux ,Un ɖa ɖo myɔ yeɖe ji.
Combien leur avez-vous marqué de buts ?,Agwĕ nabí mi dó nú yĕ ?
"Eh, l’homme-là, viens ici ! (familier).","Nya nɛ́, wà fi !"
Je ne te comprends pas bien.,A jí wŭ dó mì
enfourcher son dada,wlĭ xó
II a promis avec force qu'il le fera,E gblɔn adan ɖɔ emi na blo
C'est du café.,Kafe wɛ
Ils ont fait pareil avec nous.,Ye blo nu ɖokpo ɔ xa mi
Va au-devant de lui pour l'aider.,Yi jɛ̀ nukɔn tɔ̀n bo d'álɔ ɛ̀
C’est dans un livre que j’ai lu ces histoires ,Wema ɖokpo mε wε un xa hwenuxo enε ɔ lε ɖe.
Je pars à l’aube.,Un na ayitehɔnu
le pays des morts,kú - kújὲsusava - kútómὲ - yɛ tomɛ̀
Les voleurs sont venus ramasser absolument toutes ses affaires.,Ajòtɔ́ lɛ́ wá bɛ́ nù tɔ́n lɛ́ bĭ tatlɛ́
Je vous félicite (cri de félicitations à un groupe de travailleurs). Réponse = Yabaɖaóóó !,Ajámácóóó nú mi !
Il a atterri en sautant.,E zlɔ́n jɛ̀ agĕ
Le prix est devenu dérisoire.,Axi ɔ́ jɛ gbawunjò
"On est content, c’est le printemps.",E vivi nu mi ɖo mi ɖo ji hwenu a
Une chose qui donne des petits fruits qu’on ne cueille pas avec une gaule.,Nù ɖé sɛ́n xisixisi akplá ma gbɛ̀
Que Dieu nous sauve,Mawu ni hwlεn mi
Le grand frère a acheté de l’alcool très très pur.,Fofó jὲ ahan akú cácá
C'est amer.,E vɛ́
Il a grimpé sur l’arbre.,É xá atín ɔ́ jí
Celui que tu as choisi ne me plaît pas.,Mɛ ɖe a ze ɔ jlo mi a
Mon pagne est déchiré.,Avɔ ce vún
Tu nivelleras le terrain.,A na jlɔ́ ayìkúngban ɔ́
Mille cinq cents francs.,Caki ɖokpó adaɖé
Quelle est la route pour Ouidah ? ,Fitε ali ɖe yi Glexwe ɔ ɖe ?
Rien ne pourra plus les arracher de ma main.,Nùɖé sɔ́ ná xò yè yí sín alɔ ce mɛ̀ ă
Poisson frais.,Hwevi mu
Je vais là-bas.,Un xwe dɔ́n
La rivière coule rapidement.,Tɔ ɔ ɖo sisa wɛ wlawlà
Je m'accuse de tous mes péchés.,Un yí hwɛ ce lɛ́ bĭ gbè
Cela m'est nécessaire.,Nù nɛ́ ɔ́ hú dó mì
Il n'a pas d'heure.,E ɖo gan mɛ ă
Il a mal agi.,E wà nŭ nyanyà
Je n’en ai pas eu le temps.,Un mɔ vuvò ă
Je souffre du paludisme.,Hwezivɔ́ wέ ɖò nù wá xá mí wὲ
Elle a essoré le linge.,E fyɔ́n avɔ̀
Le malade reste fort.,Azinzɔnnɔ ɔ syɛn wu
Tu peux prendre le train ou un taxi.,A sixu do pipan alo tasii
"C’est pourquoi, moi, je m'énerve vite.",Wɛ zɔn xomɛsinnɔ wɛ nyi nyɛ
vêtement,avɔ̀ - awù - s’ávɔ̀
à l’ouverture petite et ronde,kwétéé - kótwé
Il refusa de dire.,E gbɛ́ ɖiɖɔ̀
Je suis prêtre.,Un nyí yɛhwenɔ̀
Il a rampé dans la poussière.,E sá gbɔ̀n kɔ́ mɛ̀
Il l’a fait ostensiblement.,É bló ɖò agbawungbà
Ça marche ?,E ɖò yiyi wɛ à ?
Mange un fruit.,Ɖu atinsinsɛn ɖokpo
Il est plus collant qu’une chique.,E nɔ́ yí hă mɛ hú jigán
enseignement,kpínkplɔ́n - kplɔ́nkplɔ́n - nùkpínkplɔ́n - nùkplɔ́nkplɔ́n
La pauvre maman les raccommode,Nɔ tɔn wamamɔnɔ ɖo ye tɔ wε.
J'en boirai encore.,Un na kpo nu
Une seule personne peut-elle construire une maison ?,Gbɛtɔ́ ɖokpó sìxú gbá xɔ ɖokpó à ?
Aimez-vous les uns les autres,Mi ni nɔ mɔ miɖee gbɔ
Il a fui au loin.,É ɖè afɔ nyì cáɖá mɛ̀
La vache et son veau partent boire de l’eau ,Nyibusi ɔ kpodo vi tɔn kpo yi sin nu gbe.
Je ne peux porter tous ces livres.,Un si hɛn wemaxixa enɛ ɔ lɛ bi a
"Il vient, il ne vient pas, c'est pareil : ","E jawe , e jawe a, nu ɖokpo ɔ wε."
Il est devant moi.,E ɖò nukɔn cè
Elle a préparé l'akassa le passant à la vapeur.,E syɔ́ lyŏ
Il convient que nous adorions Dieu,E jε ɖɔ mi ni sεn Mawu.
ouvrir un anneau de fer,gbà gàn
Ils ont divorcé.,Ye gbɛ ye ɖe lɛ
trancher,ɖă - gbò - jă
Je n'ai même pas bu,Un nu sin vɔvɔ a
glisser d'une branche et faire une chute,ɖì vò
"Je vois bien, cher ami, qu'un bienfait n'est jamais perdu","Un mɔ ɖɔ, xɔntɔn ce, ɖagbewiwa nɔ bu gbeɖe a."
Il va faire nuit.,Zăn ɖò kúkú wɛ̀
Est-ce que tu n’es pas parti ?,A yi a e ?
Tu racontes des histoires.,Nùɖé bá ɖɔ́ wɛ́ á ɖè
Va acheter du sel.,Yi xɔ jɛ
Il a eu peur de moi.,E ɖi xɛsi dó wŭ cè
Je lui ai appris le jeu aji,Un kplɔn aji i
A huit heures,Ɖo gan tantɔn mε
Tu m’as déshonoré.,A ɖe mì kpò
Elle a des seins flétris.,É ɖó anɔ̆ yajaà
Le vingt novembre.,Azăn kogɔ́ é ɖò xwè sùn wŏɖokpógɔ́ ɔ́ mɛ́ é
Il est devant la porte.,E ɖò hɔn nukɔ̀n
C’est un grand blagueur.,É nɔ́ ɖɔ̀ lɔ̆ya dín
"Aucun, personne",Mɛ tí... A
Nous les aimons et nous leur obéissons.,Mi yi wan nu ye bo mi nɔ le si ye
Les arbres perdent leurs fruits,Atin lε jo atinsinsεn yetɔn lε do.
Il a demandé comment s’appelait l’enfant.,É kán byɔ́ ɖɔ̀ nɛ̆ vì ɔ́ nyí ájí
femme du roi,axɔ̀sí - axɔ́sì - axɔ́súsì
frapper quelqu'un,dŏ nŭ mε
Il m’imite.,E nɔ́ vlɛ́ mì
Les marchandes étalent leurs marchandises sur leur éventaire.,Nùsátɔ́ lɛ́ nɔ́ tɛ́ agbàn ɖò kpancáɖá yètɔ́n jí
action de décliner les titres de gloire de quelqu'un,mεmímlán - mεmlámlá
Tu peux donc le suivre avec fierté et régler toute ta vie sur son enseignement.,Bo t’afɔ ayĭ bó xwé dó è bo tò gbɛ towe sɔ́ nyì nùkplɔnmɛ tɔn lɛ́ jí
Ces marchandises furent transportés en bateau ,Agban enε ɔ lε nyi bibε yi gbɔn tɔjihun mε.
Il est complètement nu.,É ɖò wèxó déwúndéwún
J’ai oublié.,Un wɔ̀n nŭ
C’est tout récemment que je suis venu.,Gùdógúdó din jɛ́n wɛ̀ un wá
C’est obscur.,Ablù do
"Tu auras beau faire, tu n'y arriveras pas.","A sìxú bló nŭ ɖĕbŭ, a na kpé wú ă"
Voyagerons-nous ensemble ?,Mì ná zɔ̀n yi tomɛ à ?
viser (à la façon des chasseurs),kpɔ́n dáán
Dieu a créé la première poule,Mawu wε blo koklosi nukɔntɔn ɔ
Il y a très longtemps que je suis allé chez moi dans mon pays.,"Un yi xwé to ce mɛ din ɔ́, xwetitixwegban ɖíè"
Nous y sommes allés il y a trois ans .,Mi yi ɖe ɔ xwe atɔn ɖie
Je me mets en retard.,Hwenu ɖò dindin dó mí wɛ̀
Il est mort à l’improviste.,É kú joflɛ́mɔ̀
Le pagne est très usagé.,Avɔ ɔ́ gbì
"Hier, nous avons attendu un taxi pendant vingt minutes.","Sɔ ɔ, mi nɔ te kpɔn taxi nu ceju ko"
détester,gbɛ̆ wăn nú mɛ
Il m’a oublié.,E wɔn mì
Les voyageurs font leur adieu à la famille.,Hundotɔ lɛ ɖo eɖabɔ do nu mɛ yetɔn lɛ wɛ
Il les a séparés.,É ɖà hun nú yĕ
J’ai gagné beaucoup d’argent.,Un mɔ akwɛ gege
J’aimerais visiter le zoo,Un ba bo na kpɔn fi ɖe kan lin le e nɔ nɔ ɔ.
Parce que si on fait ainsi avec les enfants…,Paske nu e ɖo nu mɔkɔtɔn blo xa yɔkpɔvu lɛ ɔ…
La mort n’est désirée par personne.,Mɛ ɖé nɔ́ jló ná kú ă
Des feux d’herbes brillent dans les champs.,Zo ɖo kikɛn wɛ ɖo gle lɛ mɛ
Les élèves se préparent à rentrer en classe.,Azɔmεvi lε nɔ yeɖee blo ɖo wε bo na ɖo byɔ xɔmε
"  Si tu rentres là, tu vas voir…","A byɔ finɛ ɔ, a na mɔ..."
Le forgeron bat le fer,Ganzɔwatɔ ɔ ɖo gan xo wε.
Je ne connais pas le fon suffisamment.,Un ko tuwun fɔngbe kpíkpé ă
La gorge me pique.,Kɔmɛ ce xwè
Cela l'a beaucoup troublé.,E gb’ayi dó n’í
être abondant,gbε̆ - sù kpɔ́ - viyaviyà
Nous blanchissons le linge,Mi ɖo avɔ ɔ nya wε.
"C'est facile, je vais te montrer : ","E fa, na ze xlε nu we."
"La société veut les ignorer, mais ils sont bel et bien là.","Mi nɔ jlo na ɖe nukun sin ye wu, ye ka ɖo finɛ tɛgbɛ"
Quelques jours avant.,Azan yɔeyɔe ɖe wa yi
Il est bête.,E gu din
Je m’en vais à la maison.,Un wá xwè xwé
Il a dit qu’ils n’ont pas fait cela.,E gbɛ́ ɖɔ̀ yè kún bló mɔ̀ ó
Grand-père dort dans son fauteuil.,Daagbo Đo amlɔ dɔ wε Đo azinkpo tɔn mε
Donne-lui à boire.,Bo kpé n’í
As-tu acheté un peu ? ,A xɔ nu kpεɖe à ?
Dois-tu encore avoir peur de la mort ?,A ná lɛ́ kpó ɖò xɛsi ɖì nú kú wɛ́ à ?
Les fleurs s’ouvrent au printemps,Folo lε nɔ hun ɖo xwejisun hwenu.
Il a une grosse tête.,É ɖó ta gowùn
Il est méchant.,E nyla hun
Au bord de la route,Đo ali to
Ne mange pas !,Ma ɖu nu o
Mais venez donc !,Mi bo wa bo !
Tu bois du café.,A ɖo kafe nu wɛ
Tous ses enfants,Vi tɔn lε bi
C’est un grand malheur pour elle.,Wuvɛ ɖaxo wɛ nyi n'ɛ
enquêteur,dobatɔ́ - nùdóbátɔ́
Octobre a trente et un jours ,Kɔnyasun ɖo azan gban nukun ɖokpo.
lancer le filet,nyì ɖɔ̀
Ils marchent habituellement ensemble.,Yè nɔ́ zɔ̀n zɛ̆nzɛ̆n
tas d'ordures,cigididɔ - zaxɔ́tá - zunkɔ́jí - zunkɔ́tá
Un clou pointu.,Hunjɛn nuxwiɖixwiɖi
Le voici.,É ɖíè
Je suis disponible.,Xolólo wɛ un ɖè
Il ne t’aime pas,E yi wan nu we a
être d'une bonne lignée,nyɔ̆ kún - dŏ kún
Il est gravement malade.,E ɖ'azɔn jɛ wɛ̀ b'ɛ́ syɛ́n
Il veut prendre possession de tout.,É jló ná klá jɛ̀ nŭ bì nú
Il lui a demandé où il va au service,E kanbyɔ ɛ ɖɔ fitɛ e nɔ yi azɔmɛ ɖe aji
Jean se tenait alors à côté de Pierre.,Ján ɖò Pie’kpá hwenɛ́nu
Tu leur distribues des images.,A ɖo yɛ ma nu ye wɛ
II a secoué le sac de maïs (pour le remplir),E gbijɔ gbade'ti ɔ
Le soleil est chaud.,Hwezivɔ syɛn
femme de quelqu'un,mε asì - mε'sì
Il ne marchera pas dans la nuit.,E ná zun zɔnlin gbɔ̀n zinflú mɛ̀ ă
abondance - en abondance,dεndεndὲn - kɔnnyikpɔ́ - kpétó
Il parle bien fon,E nɔ do fɔngbe ganji
A côté de qui es-tu ?,Mɛ kpa a ɖe ?
En es-tu sûr ?,A t’afɔ jí à ?
être répandu par terre,sà kpé ayìkúngbàn
Pourquoi es-tu venu ici à Cotonou ?,Etɛ wutu a wa Kutɔnu ?
Où te caches-tu ? ,Fitε hwla ɖo a ɖe ?
brouiller quelqu’un,fùn mε
La patate douce a bien produit.,Dokwín sɔ́ ganjí
"Oui, je suis affamé","E, xovε sin mi tawun"
Nous sommes arrivés seulement hier.,Sɔ jɛn mi wa
La mangue est mûre.,Măga ɔ́ bɔ̀
Qu'ils viennent me voir.,Ye ni wa kpɔn mi
Ce vin n'est pas encore bon à boire,"Vεεn ahan elɔ, e ko nyɔ nu e na nu a."
"En plus, nous avons une maison à Ouidah.","Enɛ gudo, mi ɖo xwe ɖokpo ɖo Glexwe"
Je ne fais rien par moi-même.,Un nɔ wà nǔ ɖĕbǔ nyɛ ɖóɖó ă
Ce n’est pas si important que cela.,É myá nukún sɔ̀ mɔ̆ ă
marchande de poisson frit,hwesɔnɔ̀ - hwesisɔnɔ̀ - hwesusɔnɔ - hwevísusɔnɔ̀
Peau blanche,Agbaza wewe
Jean et Jacques jouent aux billes,Jean kpodo Jaki kpo ɖo kwin xo wε.
Il y a deux ans.,Xwe we ɖíè
Les mouches,Sukpɔ lε
Quel salaire reçoit-il par mois ? ,Akwε nabi wε e nɔ ɖu do sun ɖokpo mε ?
Comment nous explique-t-il la mort ?,Tínmɛ́ tɛ́ wɛ̀ kú ɖó bɔ̀ é ɖɔ nú mì ?
Je suis trop jeune pour vous.,Un nyi yɔkpɔvu din nu mi
Veille à ce que tout le monde ait à manger.,Blò nú mɛ bì ní mɔ̀ nùɖúɖú
Il brasse du ciment.,É ɖò sɛmɛ́ti dán d’é wú wɛ̀
Que dois-tu faire désormais ?,Ani wɛ̀ a ɖò ná wà ?
Je suis en forme.,Wù yá mì
Il a des boutons sur la langue.,Đɛ̀tá tɔ́n nɔ́ sɛ́n
Le seau laisse couler l'eau.,Gannú ɔ́ ɖúɖú sìn
Est-ce qu'elle gagne beaucoup d'argent ?,E nɔ ɖu akwɛ gege à ?
Il est maigre et tout décharné.,E xú gò bó cí kácákácá
Il fait le portefaix.,E nɔ́ sɔ́ gbatɛ̀
Le village est inondé.,Tɔ gbà toxo ɔ́ bĭ
Il est trop grand.,É su dín
La corde va se casser.,Kan ɔ́ ɖo na wɛ́n wɛ̀
L’affaire est réglée.,Xó ɔ́ lɛ́ kɔ ɖò gbà tó
Il a un bon comportement.,E ɖó zìnzán ɖagbé
Il a brouillé le propos.,E hɛn xó ɔ́ wlú
Le chien m'a poursuivi jusqu'à la route.,Avun ɔ́ jɛ̀ túnnú cé káká yì agbăsa jí
Pourquoi faire ?,Bo na do wa etɛ ?
Je suis en relation avec lui.,Mì nɔ̀ kpé xó xá mìɖéé
Ce n’est rien.,E sù kú ă
Il est amoureux d'Assiba.,E yí wàn nú Asibá
Il est intelligent.,Ta tɔn mɛ bɔ̀
La terre est tassée.,Ayìkúngbán xwè
Nos nouveaux meubles sont là,Azinkpo mitɔn yoyo lε wa.
Elle est tombée enceinte.,E mɔ adɔgò
Remplis ce sac de maïs.,Wŭn gbadé gɔ́ caki élɔ́
S’adresse-t-il seulement à ses apôtres ?,Ahwanvú tɔ́n lɛ́ kɛ́ɖɛ wɛ̀ é ɖò xó ɖɔ́ ná wɛ́ à ?
Il n’agit pas comme un homme.,É jɔ làn
Tu rôdes.,A ɖo nukpakpa gbɔn wɛ
Va et reviens,Bo yi bo wa
"Dans la cour, il joue beaucoup.","Đo kɔxota ɔ, e nɔ da ayihun gege"
Donc !,Mɛ̀ !
Sika a dit que Kojo allait marier Asiba.,Sika ɖɔ Kɔjo na da Asiba
Tous ont droit à une protection égale contre toute discrimination qui violerait la présente déclaration et contre toute provocation à une telle discrimination.,Mɔ ɖokpo ɔ mɛɖe na yi gbe nu walɔ e na ɖe mɛ kpo alo ɖee nyi wuɖozɔnumɛ tɔn kpo e lo bo na wa gba sɛn e do ɖo fi e ă
devenir liquide,zùn sìn
Est-ce que tu es parti ?,A yi a ?
très bien,cánwún - ɖagbeɖagbè - ɖŏ ganjí - géwúngéwún - kéwúnkéwún - kéyikà - tawùn - záá
J'écris,Un ɖo nu wlan wε.
Nous sommes enracinés très solidement (chant hanyè).,Mì dó ɖɔ dò kpánwúnkpánwún!
Je l'ai à peine touché et il s'est mis à crier.,Alɔ jɛ́n un ɖó wŭ tɔ̀n b'ɛ́ bɛ́ xósúsú
Il ne veut pas me lâcher.,É jɛ̀ kú dó jĭ cè
Cette parole cause l'effroi.,Xó ɔ́ ɖó adohu jí
Où habites-tu?,Fitε a nɔ nɔ ?
Je suis déjà venu ici l’année dernière.,"Xwè ɖè ɔ̀ mɛ́ ɔ́, un ko wá fí"
"Déjà, ces jumeaux commençaient à apprendre à marcher.",Hòxó nɛ́ lɛ́ kó ɖò zɔnlin kplɔ́n wɛ̀
Il est mort foudroyé.,So wɛ jɛ ɛ̀ b'ɛ́ kú
Ce n'est pas mal.,E nylá bĭ ă
Un événement contemporain n’est pas un fait historique.,Nù jɛ̀ dó mɛ hwenu nɔ́ nyí tàn ă
J’ai beaucoup de travail.,Azɔ̀ ɔ́ gegé ɖ’así cè
Cela touche à sa fin.,E xwè fúfónú
Souviens-toi de le nourrir à cinq heures tous les jours !,Flin bo na n'ɛ nuɖuɖu gan atɔɔn mɛ azan lɛ bi
Il a ramassé les choses et les a bien tassées dans le grenier.,E bɛ́ nù dó agɔ̆ mɛ̀ tiwùn
J’ai une crampe à la jambe.,Yɛhwe dó gan afɔ cè
salle à manger,agbasà - nùɖúɖúxɔ́sà - nùɖúxɔmὲ - nùɖúxɔ́sà
Vous vous êtes blessés .,Mi gble wu mi ɖe lε.
C’est un personnage important.,Mɛ nukún ɖ’é jí wɛ̀
Il est venu chez moi en cachette.,É gbɔ̀n nù glɔ́ bó wá gɔ̌n cè
Je viens du marché.,Aximɛ go sín wɛ un ɖè
Il m’a donné la réponse au proverbe.,É flɔ́n lŏ nú mì
Qu'ils ne tombent pas !,Mi ye ma j’ayi o !
Pourquoi le vouloir ?,Etɛ wutu e na jlo ?
C’est celui-là.,Mɛ̀ ɔ nɛ́
Cela penche d’un côté.,É cí kɛ́n ɖokpó
Les petits oiseaux font gonfler leurs plumes,Xεvi kpεvi lε nɔ hlɔn fun yetɔn.
C’est facile,E fa
bouc,gbàgbá - gbɔ̆ asú - gbɔ̆ sú
Le malade coupe la mangue avec un couteau.,Azinzɔnnɔ ɔ ɖo amaga sɛn wɛ kpodo jivi kpo
fragment de poterie,zɛ̀nxwɛ́ - zɛ̆nxwɛ̀
cesser de mettre bas,kpò vĭ
temple des serpents,dangbé xwὲ
La fermière appelle ses poules pour leur donner du grain .,Kanlinnyitɔ ɔ ylɔ koklo tɔn lε bo na kwin
Vous n'avez pas besoin de téléphoner .,Mi do alokan titε sin hu do a
Ce n'est pas moi,E nyi nyε a
Eloigne-toi un peu.,Sɛ yi dɔ̀n kpɛɖé
cartouchière,agbajá - túkpέngbá - túkpέngójíblánú
J'ai du pain.,Un ɖo wɔxuxu
Pas quand nous devons nous promener.,E na nyi hwenu ɖe mi ɖo na ɖi sa o a
Il est monté sur le toit.,E yì xɔ ta
J'ai acheté un couteau.,Un xɔ jivi ɖokpo
Le tissu est de couleur bleu.,Avɔ ɔ cí fɛ́sín ɖɔ́hùn
Il fait nuit noire.,Zàn kú bĭ
Il nous a quittés brusquement.,É gó sín mì mɛ́ céɖéwún
Ils sont tombés,Ye j'ayi
J'ai acheté un couteau,Un xɔ jivi ɖokpo
Nos maisons sont côte à côte.,Mĭ ɖò xwé'kpá xwé'kpá
"La semaine suivante, le père l'appela et lui dit.","Azan ɖevo gbe ɔ, tɔ tɔn wa ylɔ ε bo ɖɔ n'i ɖɔ"
Il fait l'enfant.,E nɔ́ bló kpɔnnyɔ́ví
Il est gros,E klo
"  Et tu vas regarder et ce que tu découvres, on va te l’expliquer.",Bɔ a na kpɔn bɔ mɔ jɛ mɛ tɔn na tin nu we.
C'est ainsi.,Nù nyí mɔ̆
Il m’a arrêté.,É hɛn mì ɖó tè
marcher plié en deux,zɔ̀n tɔ́tɔ́
Le vent arrache les feuilles.,Jɔhon ɔ ɖo ama lɛ sun wɛ
"Apres quelques années, ils se sont revus.","Xwe yoeyoe gudo, ye mɔ ye ɖe"
faire sa toilette intime (pour les femmes),fún nukúnmὲ
La prochaine fois que tu viendras.,A jà ɖĕvo ɔ́
avoir un ami,ɖŏ xɔ́ntɔ̀n
Où est-il passé ?,Fitɛ e gbɔn ?
C'est parce qu'il a plu que je ne suis pas allé au service,Ɖo ji ja wutu wɛ un yi azɔmɛ a
Que devons-nous faire pour préparer Noël ?,"Ani wɛ̀ mì ɖó ná wà, bá dó sɔ́ nù nú Natá ?"
As-tu acheté un peu ?,A xɔ nu kpεɖe à ?
Tes habits sont vraiment beaux ,"Avɔ towe, e nyɔ ɖεkpε din."
On lui a fait des scarifications très longues.,E gbo hwɛ̀ gblulù
Il a oublié.,E wɔ́n dó è
Une belle église.,Amisa ɖagbe
violemment,ɖŏ adăn wŭ - gannyiì - gblawùn - gidigidì - hlɔ̀nhlɔ́n ɖò wŭ - jɔwùn
Va prendre du savon sur l’étagère.,Yi sɔ́ aɖì ɖó akakaɖa ta
à rebours,agɔ̀ - agwὲ
Le chemin est tortueux.,Ali ɔ gɔ́ndɔ́n
Le chien aime ses maîtres ,Cuku ɔ yi wan nu gan tɔn.
Je vais à l'école.,Un xwe azɔmɛ
Il est mort.,É yì maɖɔnuxwɛ̀
Je pense qu’il viendra.,Un lin ɖɔ̀ é ná wá
pour couvrir le nez avec.,bɔ e nɔ ze su awɔntin na.
C'est difficile.,E vɛ wu
Il a espionné et entendu notre affaire.,É xɔ́ nù tó bó sé xó mĭtɔ̀n
Ca te portera malheur.,É ná xá hùn nú wè
"Si tu pries, que cela devienne efficace.",A xo ɔ ni wa ɖi
Il est maigre et tout squelettique.,É xú gò bó cí kácákácá
J'irai lui présenter mes condoléances.,Un ná yí dó nŭwamɛ gbe n'í
bien noter,ɖŏ kέn jĭ
C’est clair.,É ɖò gaàn
Nous achèterons du pain du marché.,Mi na xɔ wɔxuxu ɖo aximɛ
Ris donc !,Ko nù bó !
"Oui, je suis venu ici une fois","Εεn, un wa fi ɖokpo"
habitant du dahomey,danxomεnì - fɔnnì
J’ai fini de manger,Un ɖu nu fo
Cela sent l’aigre.,É hwɛ́n mùmú
Tournez-vous.,Mi lìlɛ́
Le piège a pris du gibier.,Fɛ́ca ɔ wlí làn
le livre de catéchisme,katekísmu wĕmà
Notre Saint Père le Pape,mitɔ́ mímέ pápà
Il vient habituellement les jeudis.,E nɔ́ gɔ̀n nyɔ̀núzángbé lɛ́ ă
Les bonnes oranges amélioreront la mauvaise ,Yovozεn ɖagbe lε ɔ na blo nyinyɔ ɔ ɖo.
Faites ainsi pour vous souvenir de moi.,Mi nɔ wà mɔ̆ bó ná dó flín mí ná
"En tant que conducteur, permettez-moi ce conseil.",Đi hunkuntɔ mi nɔ te ma na mi nukplɔnmε elɔ
action de marcher,avidladlá - zinzɔ̀n - zunzɔ̀n
faire l'enfant,blŏ nŭ - ɖɔ̀ vĭ
Une personne.,Mɛ ɖokpo
II est dans la misère,E ɖo gbɛdomɛ
